text_id,uid,text_date
502,68,6/12/2020
503,1,6/12/2020
504,64,6/12/2020
505,26,6/12/2020
506,28,6/12/2020
507,92,6/12/2020
508,70,6/12/2020
509,88,6/12/2020
510,105,6/12/2020
511,66,6/12/2020
512,28,6/12/2020
513,67,6/12/2020
514,76,6/12/2020
515,83,6/12/2020
516,46,6/12/2020
517,101,6/12/2020
518,81,6/12/2020
519,90,6/12/2020
520,60,6/12/2020
521,100,6/12/2020
522,3,6/12/2020
523,1,6/12/2020
524,98,6/12/2020
525,3,6/12/2020
526,70,6/12/2020
527,101,6/12/2020
528,62,6/12/2020
529,90,6/12/2020
530,44,6/12/2020
531,29,6/12/2020
532,88,6/12/2020
533,98,6/12/2020
534,57,6/12/2020
535,6,6/12/2020
536,74,6/12/2020
537,102,6/12/2020
538,11,6/12/2020
539,84,6/12/2020
540,16,6/12/2020
541,65,6/12/2020
542,79,6/12/2020
543,97,6/12/2020
544,16,6/12/2020
545,46,6/12/2020
546,4,6/12/2020
547,72,6/12/2020
548,73,6/12/2020
549,89,6/12/2020
550,1,6/12/2020
551,105,6/12/2020
552,2,6/12/2020
553,2,6/12/2020
554,89,6/12/2020
555,91,6/12/2020
556,105,6/12/2020
557,12,6/12/2020
558,91,6/12/2020
559,70,6/15/2020
560,44,6/15/2020
561,79,6/15/2020
562,92,6/15/2020
563,108,6/15/2020
564,88,6/15/2020
565,92,6/15/2020
566,60,6/15/2020
567,76,6/15/2020
568,50,6/15/2020
570,7,6/15/2020
571,60,6/15/2020
572,26,6/15/2020
573,76,6/15/2020
574,4,6/15/2020
575,98,6/15/2020
576,12,6/15/2020
577,4,6/15/2020
578,73,6/15/2020
579,70,6/15/2020
580,9,6/15/2020
581,87,6/15/2020
582,73,6/15/2020
583,103,6/15/2020
584,87,6/15/2020
585,72,6/15/2020
586,1,6/15/2020
587,98,6/15/2020
588,89,6/15/2020
589,27,6/15/2020
590,72,6/15/2020
591,4,6/15/2020
592,63,6/15/2020
593,84,6/15/2020
594,9,6/15/2020
595,108,6/15/2020
596,90,6/15/2020
597,26,6/15/2020
598,90,6/15/2020
599,90,6/15/2020
600,89,6/15/2020
601,108,6/15/2020
602,103,6/15/2020
603,103,6/15/2020
604,103,6/15/2020
605,3,6/15/2020
606,90,6/15/2020
607,57,6/15/2020
608,70,6/15/2020
609,27,6/15/2020
610,88,6/15/2020
611,2,6/15/2020
612,98,6/15/2020
613,84,6/15/2020
614,27,6/15/2020
615,10,6/15/2020
616,87,6/15/2020
617,30,6/15/2020
618,86,6/15/2020
619,1,6/15/2020
620,88,6/15/2020
621,84,6/15/2020
622,98,6/15/2020
623,44,6/15/2020
624,6,6/15/2020
625,78,6/15/2020
626,97,6/15/2020
627,78,6/15/2020
628,6,6/15/2020
629,76,6/15/2020
630,10,6/15/2020
631,50,6/15/2020
632,30,6/15/2020
